Nom,Lien Profil,Image,Traits,Tags,Anime Associé,Manga Associé
Kakashi HATAKE,https://www.anime-planet.com/characters/kakashi-hatake,https://cdn.anime-planet.com/characters/primary/kakashi-hatake-1-285x399.webp?t=1725333435,"Male, Grey Hair","Adult, Anti-Gravity Hair, Beastmaster, Exotic Eyes, Gloves, Headband, Masks, Ninja, Scar",Boruto: Naruto Next Generations,Boruto: Naruto the Movie Tokubetsu Bangai-hen - Naruto ga Hokage ni Natta Hi
Naruto UZUMAKI,https://www.anime-planet.com/characters/naruto-uzumaki,https://cdn.anime-planet.com/characters/primary/naruto-uzumaki-1-285x399.webp?t=1726005121,"Male, Blonde Hair","Beastmaster, Birthmark / Mole, Face Markings, Headband, Hot-Headed, Ninja, Orphan, Verbal Tic",Boruto: Jump Festa 2016 Special,Boruto
L,https://www.anime-planet.com/characters/l-death-note,https://cdn.anime-planet.com/characters/primary/l-death-note-1-190x266.jpg?t=1625965725,"Male, Black Hair","Analytical, Barefoot, Detective, Eye Bags, Sweet Tooth",Death Note,Death Note
Levi,https://www.anime-planet.com/characters/levi,https://cdn.anime-planet.com/characters/primary/levi-1-190x266.jpg?t=1625973324,"Male, Black Hair","Adult, Military, Ruthless, Stoic, Sword Fighter",20-pun de Oitsukeru: Attack on Titan,Attack on Titan
Light YAGAMI,https://www.anime-planet.com/characters/light-yagami,https://cdn.anime-planet.com/characters/primary/light-yagami-1-190x266.jpg?t=1625965725,"Male, Brown Hair","Analytical, Big Ego, Charismatic, God Complex, Manipulative, Ruthless, Secret Identity",Death Note,Death Note
Edward ELRIC,https://www.anime-planet.com/characters/edward-elric,https://cdn.anime-planet.com/characters/primary/edward-elric-1-190x266.jpg?t=1625965583,"Male, Blonde Hair","Alchemist, Arm Blades, Artificial Limb, Braids, Gloves, Hair Antenna, Hot-Headed, Military, Ponytail, Teenager",Fullmetal Alchemist,Fullmetal Alchemist
Itachi UCHIHA,https://www.anime-planet.com/characters/itachi-uchiha,https://cdn.anime-planet.com/characters/primary/itachi-uchiha-1-285x399.webp?t=1726190908,"Male, Black Hair","Beastmaster, Combat Illusionist, Exotic Eyes, Headband, Ninja, Ponytail, Stoic",Naruto,Naruto
Mikasa ACKERMAN,https://www.anime-planet.com/characters/mikasa-ackerman,https://cdn.anime-planet.com/characters/primary/mikasa-ackerman-1-190x266.jpg?t=1625972795,"Female, Black Hair","Broken Record, Kuudere, Military, Orphan, Scarf, Stoic, Sword Fighter",20-pun de Oitsukeru: Attack on Titan,Attack on Titan
Tanjirou KAMADO,https://www.anime-planet.com/characters/tanjirou-kamado,https://cdn.anime-planet.com/characters/primary/tanjirou-kamado-1-190x266.jpg?t=1626009919,"Male, Red Hair","Demon Hunter, Orphan, Piercings, Scar, Sword Fighter, Teenager",Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu Academy
Nezuko KAMADO,https://www.anime-planet.com/characters/nezuko-kamado,https://cdn.anime-planet.com/characters/primary/nezuko-kamado-1-190x266.jpg?t=1626009919,"Female, Multicolored Hair","Demon, Hair Ribbons, Orphan, Teenager",Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu Academy
Gaara,https://www.anime-planet.com/characters/gaara,https://cdn.anime-planet.com/characters/primary/gaara-1-285x399.webp?t=1725501221,"Male, Red Hair","Earth Powers, Elemental Powers, Ninja, No Eyebrows, Stoic, Tattoo",Boruto: Naruto Next Generations,Boruto
Monkey D. Luffy,https://www.anime-planet.com/characters/monkey-d-luffy,https://cdn.anime-planet.com/characters/primary/monkey-d-luffy-1-285x398.webp?t=1653414141,"Male, Black Hair","Airhead, Big Eater, Charismatic, Eternal Optimist, Hat, Pirate, Sailor, Scar, Superpowers, Teenager, Treasure Hunter",ARASHI: A-RA-SHI : Reborn,Cross Epoch
Ryuk,https://www.anime-planet.com/characters/ryuk,https://cdn.anime-planet.com/characters/primary/ryuk-1-190x266.jpg?t=1625965727,"Male, Black Hair","Agent of the Afterlife, Anti-Gravity Hair, Immortal, Piercings, Sharp Teeth, Shinigami, Wings",Death Note,Death Note
Rimuru TEMPEST,https://www.anime-planet.com/characters/rimuru-tempest,https://cdn.anime-planet.com/characters/primary/rimuru-tempest-1-285x399.webp?t=1728595888,"Elemental Powers, Magic User, Monster, Person in a Strange World, Shapeshifter, Slime",,Genjitsu no Rimuru: Sunshine in the Slime,Tenchura! Tensei Shitara Slime Datta Ken
Natsu DRAGNEEL,https://www.anime-planet.com/characters/natsu-dragneel,https://cdn.anime-planet.com/characters/primary/natsu-dragneel-1-190x286.jpg?t=1625965749,"Male, Pink Hair","Big Eater, Elemental Powers, Eternal Optimist, Fire Powers, Hot-Headed, Invisibility Powers, Magic User, Orphan, Scarf",Fairy Tail,Fairy Tail
Roy MUSTANG,https://www.anime-planet.com/characters/roy-mustang,https://cdn.anime-planet.com/characters/primary/roy-mustang-1-190x266.jpg?t=1625965982,"Male, Black Hair","Adult, Alchemist, Elemental Powers, Fire Powers, Gloves, Military",Fullmetal Alchemist,Fullmetal Alchemist
Shikamaru NARA,https://www.anime-planet.com/characters/shikamaru-nara,https://cdn.anime-planet.com/characters/primary/shikamaru-nara-1-285x399.webp?t=1726004994,"Male, Black Hair","Analytical, Darkness Powers, Elemental Powers, Lazy, Ninja, Piercings, Ponytail",Boruto: Naruto Next Generations,Boruto
Lelouch LAMPEROUGE,https://www.anime-planet.com/characters/lelouch-lamperouge,https://cdn.anime-planet.com/characters/primary/lelouch-lamperouge-1-285x400.webp?t=1641590219,"Male, Black Hair","Analytical, Big Ego, Cape, Charismatic, Exotic Eyes, God Complex, High School Student, Manipulative, Masks, Mecha Pilot, Psychic Powers, Royalty, Ruthless, Student Council, Superpowers, Teenager, Terrorist, Vengeful",Code Geass: Akito the Exiled,Barcode Geass: Hanbai no Lelouch
Eren JAEGER,https://www.anime-planet.com/characters/eren-jaeger,https://cdn.anime-planet.com/characters/primary/eren-jaeger-1-190x266.jpg?t=1625972790,"Male, Brown Hair","Hot-Headed, Military, Sword Fighter, Vengeful",20-pun de Oitsukeru: Attack on Titan,Attack on Titan
Zoro RORONOA,https://www.anime-planet.com/characters/zoro-roronoa,https://cdn.anime-planet.com/characters/primary/zoro-roronoa-1-190x266.jpg?t=1625965215,"Male, Green Hair","Bandana, Dual Wielder, Muscular, No Sense of Direction, Piercings, Pirate, Sailor, Scar, Sleepyhead, Sword Fighter",ARASHI: A-RA-SHI : Reborn,Cross Epoch
Erza SCARLET,https://www.anime-planet.com/characters/erza-scarlet,https://cdn.anime-planet.com/characters/primary/erza-scarlet-1-190x283.jpg?t=1625965750,"Female, Red Hair","Armor, Blinding Bangs, Bossy, Magic User, Sweet Tooth, Sword Fighter, Warrior",Fairy Tail,Fairy Girls
Hinata HYUGA,https://www.anime-planet.com/characters/hinata-hyuga-naruto,https://cdn.anime-planet.com/characters/primary/hinata-hyuga-naruto-1-285x399.webp?t=1725651495,"Female, Black Hair","Dandere, Exotic Eyes, Ninja, Shy",Boruto: Naruto Next Generations,Boruto
Kirito,https://www.anime-planet.com/characters/kirito,https://cdn.anime-planet.com/characters/primary/kirito-1-190x266.jpg?t=1625974517,"Male, Black Hair","Person in a Strange World, Sword Fighter, Teenager, Video Gamer, Warrior",Eromanga Sensei,Sword Art Online 4-koma
Satoru GOJO,https://www.anime-planet.com/characters/satoru-gojo,https://cdn.anime-planet.com/characters/primary/satoru-gojo-1-190x266.jpg?t=1628428243,"Male, White Hair","Adult, Blindfold, Exorcist, Teacher",Eve: Kaikai Kitan,Jujutsu Kaisen
Sebastian MICHAELIS,https://www.anime-planet.com/characters/sebastian-michaelis,https://cdn.anime-planet.com/characters/primary/sebastian-michaelis-1-285x399.webp?t=1660951476,"Male, Black Hair","Animal Lover, Butler, Demon, Human Guise, Immortal, Manipulative, Sadistic, Unconventional Weapon",Black Butler,Black Butler
Killua ZOLDYCK,https://www.anime-planet.com/characters/killua-zoldyck,https://cdn.anime-planet.com/characters/primary/killua-zoldyck-1-190x267.jpg?t=1625966241,"Male, White Hair","Analytical, Assassin, Child, Sweet Tooth",Hunter x Hunter,Hunter x Hunter
Inosuke HASHIBIRA,https://www.anime-planet.com/characters/inosuke-hashibira,https://cdn.anime-planet.com/characters/primary/inosuke-hashibira-1-190x266.jpg?t=1626009943,"Male, Multicolored Hair","Airhead, Big Eater, Demon Hunter, Dual Wielder, Hot-Headed, Masks, Muscular, Orphan, Sword Fighter, Teenager",Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba
Alphonse ELRIC,https://www.anime-planet.com/characters/alphonse-elric,https://cdn.anime-planet.com/characters/primary/alphonse-elric-1-190x266.jpg?t=1625965586,"Male, Blonde Hair","Alchemist, Animal Lover, Armor, Eternal Optimist, Teenager",Fullmetal Alchemist,Fullmetal Alchemist
Ichigo KUROSAKI,https://www.anime-planet.com/characters/ichigo-kurosaki,https://cdn.anime-planet.com/characters/primary/ichigo-kurosaki-1-190x266.jpg?t=1625965224,"Male, Orange Hair","Agent of the Afterlife, High School Student, Oversized Weapon, Shinigami, Sword Fighter, Teenager",Bleach,Bleach
Asuna YUUKI,https://www.anime-planet.com/characters/asuna-yuuki,https://cdn.anime-planet.com/characters/primary/asuna-yuuki-1-190x266.jpg?t=1625974518,"Female, Brown Hair","Braids, Cook, Person in a Strange World, Sword Fighter, Teenager, Video Gamer, Warrior",Sword Art Online,Sword Art Online 4-koma
Jiraiya,https://www.anime-planet.com/characters/jiraiya,https://cdn.anime-planet.com/characters/primary/jiraiya-1-285x399.webp?t=1725766199,"Male, White Hair","Adult, Beastmaster, Earth Powers, Face Markings, Fire Powers, Flirt, Headband, Heavy Drinker, Ninja, Pervert, Prehensile Hair, Writer",Naruto,Naruto
Death The Kid,https://www.anime-planet.com/characters/death-the-kid,https://cdn.anime-planet.com/characters/primary/death-the-kid-1-190x266.jpg?t=1625965240,"Male, Multicolored Hair","Agent of the Afterlife, Bossy, Dual Wielder, Gunslinger, Shinigami, Teenager",Soul Eater,Soul Eater
Zenitsu AGATSUMA,https://www.anime-planet.com/characters/zenitsu-agatsuma,https://cdn.anime-planet.com/characters/primary/zenitsu-agatsuma-1-285x399.webp?t=1640891738,"Male, Multicolored Hair","Comic Relief, Cowardly, Crybaby, Demon Hunter, Orphan, Sword Fighter, Teenager",Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba
Izuku MIDORIYA,https://www.anime-planet.com/characters/izuku-midoriya,https://cdn.anime-planet.com/characters/primary/izuku-midoriya-1-190x266.jpg?t=1625992611,"Male, Green Hair","Analytical, Crybaby, Freckles, High School Student, Superpowers, Teenager",My Hero Academia,Deku and Bakugo Rising
Sasuke UCHIHA,https://www.anime-planet.com/characters/sasuke-uchiha,https://cdn.anime-planet.com/characters/primary/sasuke-uchiha-1-285x399.webp?t=1725333493,"Male, Black Hair","Elemental Powers, Exotic Eyes, Fire Powers, Lightning Powers, Ninja, Orphan, Teleportation Powers, Vengeful",Boruto: Naruto Next Generations,Boruto
Shoto TODOROKI,https://www.anime-planet.com/characters/shoto-todoroki,https://cdn.anime-planet.com/characters/primary/shoto-todoroki-1-190x266.jpg?t=1625993004,"Male, Multicolored Hair","Analytical, Elemental Powers, Fire Powers, Heterochromia, High School Student, Ice Powers, Kuudere, Scar, Stoic, Superpowers, Teenager",My Hero Academia,My Hero Academia
Gray FULLBUSTER,https://www.anime-planet.com/characters/gray-fullbuster,https://cdn.anime-planet.com/characters/primary/gray-fullbuster-1-285x399.webp?t=1725952227,"Male, Black Hair","Elemental Powers, Frequently-Naked, Hot-Headed, Ice Powers, Magic User",Fairy Tail,Fairy Girls
Rin OKUMURA,https://www.anime-planet.com/characters/rin-okumura,https://cdn.anime-planet.com/characters/primary/rin-okumura-1-285x399.webp?t=1653479091,"Male, Black Hair","Cook, Demon, Demon Hunter, Elemental Powers, Exorcist, Fire Powers, Half-Breed, High School Student, Hot-Headed, Orphan, Pointy Ears, Sword Fighter, Tail, Twin",Blue Exorcist,Blue Exorcist
